,single_amount,sub,cg,rate_adjust,rate_adjust_r1,rate_adjust_r2,rate_adjust_r2_pct
0,0.0,0.25,-3.45,-0.011264,-0.01126,-0.0113,-1.13
1,100.0,0.25,-3.45,-0.011174,-0.01117,-0.0112,-1.1199999999999999
2,200.0,0.25,-3.45,-0.011086,-0.01109,-0.0111,-1.11
3,300.0,0.25,-3.45,-0.010995,-0.01099,-0.011,-1.0999999999999999
4,400.0,0.25,-3.45,-0.010903,-0.0109,-0.0109,-1.09
5,500.0,0.25,-3.45,-0.010813,-0.01081,-0.0108,-1.08
6,600.0,0.25,-3.45,-0.010721,-0.01072,-0.0107,-1.0699999999999998
7,700.0,0.25,-3.45,-0.010631,-0.01063,-0.0106,-1.06
8,800.0,0.25,-3.45,-0.010538,-0.01054,-0.0105,-1.05
9,900.0,0.25,-3.45,-0.010443,-0.01044,-0.0104,-1.04
10,1000.0,0.25,-3.45,-0.010347,-0.01035,-0.0103,-1.03
11,1100.0,0.25,-3.45,-0.010254,-0.01025,-0.0103,-1.03
12,1200.0,0.25,-3.45,-0.010159,-0.01016,-0.0102,-1.02
13,1300.0,0.25,-3.45,-0.010062,-0.01006,-0.0101,-1.01
14,1400.0,0.25,-3.45,-0.009966,-0.00997,-0.01,-1.0
15,1500.0,0.25,-3.45,-0.00987,-0.00987,-0.0099,-0.9900000000000001
16,1600.0,0.25,-3.45,-0.009771,-0.00977,-0.0098,-0.98
17,1700.0,0.25,-3.45,-0.009674,-0.00967,-0.0097,-0.97
18,1800.0,0.25,-3.45,-0.009576,-0.00958,-0.0096,-0.96
19,1900.0,0.25,-3.45,-0.009479,-0.00948,-0.0095,-0.95
20,2000.0,0.25,-3.45,-0.009379,-0.00938,-0.0094,-0.9400000000000001
21,2100.0,0.25,-3.45,-0.009277,-0.00928,-0.0093,-0.9299999999999999
22,2200.0,0.25,-3.45,-0.009176,-0.00918,-0.0092,-0.9199999999999999
23,2300.0,0.25,-3.45,-0.009074,-0.00907,-0.0091,-0.91
24,2400.0,0.25,-3.45,-0.008972,-0.00897,-0.009,-0.8999999999999999
25,2500.0,0.25,-3.45,-0.00887,-0.00887,-0.0089,-0.89
26,2600.0,0.25,-3.45,-0.008767,-0.00877,-0.0088,-0.88
27,2700.0,0.25,-3.45,-0.008663,-0.00866,-0.0087,-0.8699999999999999
28,2800.0,0.25,-3.45,-0.008558,-0.00856,-0.0086,-0.86
29,2900.0,0.25,-3.45,-0.008452,-0.00845,-0.0085,-0.8500000000000001
30,3000.0,0.25,-3.45,-0.008344,-0.00834,-0.0083,-0.83
31,3100.0,0.25,-3.45,-0.008237,-0.00824,-0.0082,-0.8200000000000001
32,3200.0,0.25,-3.45,-0.008127,-0.00813,-0.0081,-0.8099999999999999
33,3300.0,0.25,-3.45,-0.008017,-0.00802,-0.008,-0.8
34,3400.0,0.25,-3.45,-0.007908,-0.00791,-0.0079,-0.79
35,3500.0,0.25,-3.45,-0.0078,-0.0078,-0.0078,-0.7799999999999999
36,3600.0,0.25,-3.45,-0.007692,-0.00769,-0.0077,-0.77
37,3700.0,0.25,-3.45,-0.007582,-0.00758,-0.0076,-0.76
38,3800.0,0.25,-3.45,-0.00747,-0.00747,-0.0075,-0.75
39,3900.0,0.25,-3.45,-0.007361,-0.00736,-0.0074,-0.74
40,4000.0,0.25,-3.45,-0.007251,-0.00725,-0.0073,-0.73
41,4100.0,0.25,-3.45,-0.00714,-0.00714,-0.0071,-0.7100000000000001
42,4200.0,0.25,-3.45,-0.007027,-0.00703,-0.007,-0.7000000000000001
43,4300.0,0.25,-3.45,-0.006911,-0.00691,-0.0069,-0.69
44,4400.0,0.25,-3.45,-0.006795,-0.0068,-0.0068,-0.6799999999999999
45,4500.0,0.25,-3.45,-0.006682,-0.00668,-0.0067,-0.67
46,4600.0,0.25,-3.45,-0.006566,-0.00657,-0.0066,-0.66
47,4700.0,0.25,-3.45,-0.006451,-0.00645,-0.0065,-0.65
48,4800.0,0.25,-3.45,-0.006336,-0.00634,-0.0063,-0.63
49,4900.0,0.25,-3.45,-0.006219,-0.00622,-0.0062,-0.62
50,5000.0,0.25,-3.45,-0.006102,-0.0061,-0.0061,-0.61
51,5100.0,0.25,-3.45,-0.005986,-0.00599,-0.006,-0.6
52,5200.0,0.25,-3.45,-0.005862,-0.00586,-0.0059,-0.59
53,5300.0,0.25,-3.45,-0.005747,-0.00575,-0.0057,-0.5700000000000001
54,5400.0,0.25,-3.45,-0.005629,-0.00563,-0.0056,-0.5599999999999999
55,5500.0,0.25,-3.45,-0.00551,-0.00551,-0.0055,-0.5499999999999999
56,5600.0,0.25,-3.45,-0.005392,-0.00539,-0.0054,-0.54
57,5700.0,0.25,-3.45,-0.005273,-0.00527,-0.0053,-0.53
58,5800.0,0.25,-3.45,-0.005156,-0.00516,-0.0052,-0.52
59,5900.0,0.25,-3.45,-0.005039,-0.00504,-0.005,-0.5
60,6000.0,0.25,-3.45,-0.00492,-0.00492,-0.0049,-0.49
61,6100.0,0.25,-3.45,-0.0048,-0.0048,-0.0048,-0.48
62,6200.0,0.25,-3.45,-0.004681,-0.00468,-0.0047,-0.47000000000000003
63,6300.0,0.25,-3.45,-0.004561,-0.00456,-0.0046,-0.45999999999999996
64,6400.0,0.25,-3.45,-0.00444,-0.00444,-0.0044,-0.44
65,6500.0,0.25,-3.45,-0.004319,-0.00432,-0.0043,-0.43
66,6600.0,0.25,-3.45,-0.004198,-0.0042,-0.0042,-0.42
67,6700.0,0.25,-3.45,-0.004076,-0.00408,-0.0041,-0.41000000000000003
68,6800.0,0.25,-3.45,-0.003956,-0.00396,-0.004,-0.4
69,6900.0,0.25,-3.45,-0.003833,-0.00383,-0.0038,-0.38
70,7000.0,0.25,-3.45,-0.00371,-0.00371,-0.0037,-0.37
71,7100.0,0.25,-3.45,-0.003587,-0.00359,-0.0036,-0.36
72,7200.0,0.25,-3.45,-0.003467,-0.00347,-0.0035,-0.35000000000000003
73,7300.0,0.25,-3.45,-0.003346,-0.00335,-0.0033,-0.33
74,7400.0,0.25,-3.45,-0.003223,-0.00322,-0.0032,-0.32
75,7500.0,0.25,-3.45,-0.003102,-0.0031,-0.0031,-0.31
76,7600.0,0.25,-3.45,-0.00298,-0.00298,-0.003,-0.3
77,7700.0,0.25,-3.45,-0.002856,-0.00286,-0.0029,-0.29
78,7800.0,0.25,-3.45,-0.002731,-0.00273,-0.0027,-0.27
79,7900.0,0.25,-3.45,-0.002607,-0.00261,-0.0026,-0.26
80,8000.0,0.25,-3.45,-0.002485,-0.00249,-0.0025,-0.25
81,8100.0,0.25,-3.45,-0.002363,-0.00236,-0.0024,-0.24
82,8200.0,0.25,-3.45,-0.00224,-0.00224,-0.0022,-0.22
83,8300.0,0.25,-3.45,-0.002121,-0.00212,-0.0021,-0.21
84,8400.0,0.25,-3.45,-0.001997,-0.002,-0.002,-0.2
85,8500.0,0.25,-3.45,-0.00187,-0.00187,-0.0019,-0.19
86,8600.0,0.25,-3.45,-0.001746,-0.00175,-0.0017,-0.16999999999999998
87,8700.0,0.25,-3.45,-0.001621,-0.00162,-0.0016,-0.16
88,8800.0,0.25,-3.45,-0.001498,-0.0015,-0.0015,-0.15
89,8900.0,0.25,-3.45,-0.001375,-0.00138,-0.0014,-0.13999999999999999
90,9000.0,0.25,-3.45,-0.001249,-0.00125,-0.0012,-0.12
91,9100.0,0.25,-3.45,-0.001127,-0.00113,-0.0011,-0.11
92,9200.0,0.25,-3.45,-0.001001,-0.001,-0.001,-0.1
93,9300.0,0.25,-3.45,-0.000874,-0.00087,-0.0009,-0.09
94,9400.0,0.25,-3.45,-0.000747,-0.00075,-0.0007,-0.06999999999999999
95,9500.0,0.25,-3.45,-0.000622,-0.00062,-0.0006,-0.06
96,9600.0,0.25,-3.45,-0.000497,-0.0005,-0.0005,-0.05
97,9700.0,0.25,-3.45,-0.000374,-0.00037,-0.0004,-0.04
98,9800.0,0.25,-3.45,-0.000249,-0.00025,-0.0002,-0.02
99,9900.0,0.25,-3.45,-0.000124,-0.00012,-0.0001,-0.01
100,10000.0,0.25,-3.45,0.0,0.0,0.0,0.0
