,single_amount,sub,cg,diff
0,0,0.25,-3.45,0.26748343527004004
1,100,0.25,-3.45,0.264195139066376
2,200,0.25,-3.45,0.2608385611590537
3,300,0.25,-3.45,0.25746634919978023
4,400,0.25,-3.45,0.2541205760455801
5,500,0.25,-3.45,0.2506594458037393
6,600,0.25,-3.45,0.2471963285553623
7,700,0.25,-3.45,0.2436724437967666
8,800,0.25,-3.45,0.24013463327125195
9,900,0.25,-3.45,0.23657408935008495
10,1000,0.25,-3.45,0.2329989861338115
11,1100,0.25,-3.45,0.22936264128779685
12,1200,0.25,-3.45,0.22568475122977538
13,1300,0.25,-3.45,0.22201615623768456
14,1400,0.25,-3.45,0.21826228982333884
15,1500,0.25,-3.45,0.21443669943493066
16,1600,0.25,-3.45,0.2105613457762197
17,1700,0.25,-3.45,0.2066909355625049
18,1800,0.25,-3.45,0.20284558241969727
19,1900,0.25,-3.45,0.19895028419113672
20,2000,0.25,-3.45,0.1950241502066621
21,2100,0.25,-3.45,0.19108710681649216
22,2200,0.25,-3.45,0.1870326185436904
23,2300,0.25,-3.45,0.18294849188639747
24,2400,0.25,-3.45,0.17885085296339454
25,2500,0.25,-3.45,0.17470303135162696
26,2600,0.25,-3.45,0.17051701287683593
27,2700,0.25,-3.45,0.16638678963998632
28,2800,0.25,-3.45,0.16216012025317578
29,2900,0.25,-3.45,0.15789846720604786
30,3000,0.25,-3.45,0.15358398372950097
31,3100,0.25,-3.45,0.14929370809823533
32,3200,0.25,-3.45,0.14494273002995509
33,3300,0.25,-3.45,0.14056536749499512
34,3400,0.25,-3.45,0.13617260318632032
35,3500,0.25,-3.45,0.13173142848934571
36,3600,0.25,-3.45,0.1272921123345957
37,3700,0.25,-3.45,0.12279552710637595
38,3800,0.25,-3.45,0.11826065001634277
39,3900,0.25,-3.45,0.11371734039193358
40,4000,0.25,-3.45,0.10907859496881836
41,4100,0.25,-3.45,0.10452705720057519
42,4200,0.25,-3.45,0.09992466563401951
43,4300,0.25,-3.45,0.09517016795644336
44,4400,0.25,-3.45,0.09046166030353905
45,4500,0.25,-3.45,0.08575523622075099
46,4600,0.25,-3.45,0.08099592318135254
47,4700,0.25,-3.45,0.07617437100624903
48,4800,0.25,-3.45,0.07136505361479883
49,4900,0.25,-3.45,0.06655040673624511
50,5000,0.25,-3.45,0.06166974948925488
51,5100,0.25,-3.45,0.056848455802997064
52,5200,0.25,-3.45,0.052040893892475584
53,5300,0.25,-3.45,0.04719452996572851
54,5400,0.25,-3.45,0.04247362724196777
55,5500,0.25,-3.45,0.037641448127191404
56,5600,0.25,-3.45,0.03277255228803711
57,5700,0.25,-3.45,0.02786757814570606
58,5800,0.25,-3.45,0.022971958329062497
59,5900,0.25,-3.45,0.018109455121868165
60,6000,0.25,-3.45,0.013266510758662108
61,6100,0.25,-3.45,0.008357678161152344
62,6200,0.25,-3.45,0.003465932507564453
63,6300,0.25,-3.45,-0.0014797333169785155
64,6400,0.25,-3.45,-0.006431400769823242
65,6500,0.25,-3.45,-0.011309172335116208
66,6600,0.25,-3.45,-0.016294052423891602
67,6700,0.25,-3.45,-0.02125647356994238
68,6800,0.25,-3.45,-0.026230901694222656
69,6900,0.25,-3.45,-0.031255898280764645
70,7000,0.25,-3.45,-0.03623545102539062
71,7100,0.25,-3.45,-0.04125182584643653
72,7200,0.25,-3.45,-0.046294699336727536
73,7300,0.25,-3.45,-0.05134018849444141
74,7400,0.25,-3.45,-0.05637468700650391
75,7500,0.25,-3.45,-0.06136836350525782
76,7600,0.25,-3.45,-0.06624583006436816
77,7700,0.25,-3.45,-0.07126361041303808
78,7800,0.25,-3.45,-0.07629384388653418
79,7900,0.25,-3.45,-0.08129435177233205
80,8000,0.25,-3.45,-0.0862368649516543
81,8100,0.25,-3.45,-0.09125529333829394
82,8200,0.25,-3.45,-0.09619088133452246
83,8300,0.25,-3.45,-0.10115710550780958
84,8400,0.25,-3.45,-0.1060968467508164
85,8500,0.25,-3.45,-0.11102166326136524
86,8600,0.25,-3.45,-0.11598379934714748
87,8700,0.25,-3.45,-0.12093533494497365
88,8800,0.25,-3.45,-0.12577833556995704
89,8900,0.25,-3.45,-0.13064940036620507
90,9000,0.25,-3.45,-0.13555654729249902
91,9100,0.25,-3.45,-0.14037863635781833
92,9200,0.25,-3.45,-0.1452143719905879
93,9300,0.25,-3.45,-0.15001607723173435
94,9400,0.25,-3.45,-0.15482258267709276
95,9500,0.25,-3.45,-0.15952677743662794
96,9600,0.25,-3.45,-0.16422781685125584
97,9700,0.25,-3.45,-0.16896206627457325
98,9800,0.25,-3.45,-0.17364321973751562
99,9900,0.25,-3.45,-0.1782651030345742
100,10000,0.25,-3.45,-0.1827819849819658
