,single_amount,sd_adjust,diff
0,0.0,860.0,0.0026366551498588865
2,100.0,850.0,0.002715234732582031
4,200.0,840.0,0.0027996642621665032
6,300.0,830.0,0.0028154855055600586
8,400.0,820.0,0.0027684892089438473
10,500.0,810.0,0.002652512521674316
12,600.0,800.0,0.0025198364330532227
14,700.0,790.0,0.0023810698905864253
16,800.0,780.0,0.002248590274152832
18,900.0,770.0,0.0020920875295214842
20,1000.0,760.0,0.0017994924456357423
22,1100.0,750.0,0.0015500460168540039
24,1200.0,740.0,0.001241289922165527
26,1300.0,730.0,0.0008275423348647463
28,1400.0,720.0,0.00048127458899316393
30,1500.0,710.0,4.517731035156257e-05
32,1600.0,690.0,0.002551817246604492
34,1700.0,680.0,0.0020139529699814457
36,1800.0,670.0,0.0015161349495761717
38,1900.0,660.0,0.0008559658058369141
40,2000.0,640.0,0.0031687747471220704
42,2100.0,630.0,0.002611715139198242
44,2200.0,610.0,0.004884546547592773
46,2300.0,600.0,0.004079069642152344
48,2400.0,580.0,0.006288355067971192
50,2500.0,570.0,0.005461545831656738
52,2600.0,550.0,0.007235810711628418
54,2700.0,540.0,0.006386913931268066
56,2800.0,520.0,0.008393952206764161
58,2900.0,510.0,0.007331664361732422
60,3000.0,490.0,0.009194178579958497
62,3100.0,480.0,0.008148764585745117
64,3200.0,460.0,0.009935329150293945
66,3300.0,450.0,0.008777381964973633
68,3400.0,430.0,0.010435772100041015
70,3500.0,420.0,0.009232850769467286
72,3600.0,400.0,0.010752577240830079
74,3700.0,390.0,0.009390188672673827
76,3800.0,370.0,0.010854353071782227
78,3900.0,360.0,0.009501182594210449
80,4000.0,340.0,0.010780701307323243
82,4100.0,330.0,0.009254840403431153
84,4200.0,310.0,0.010481467441364746
86,4300.0,300.0,0.0089568881565542
88,4400.0,280.0,0.010139563844327636
90,4500.0,270.0,0.008430448460849609
92,4600.0,250.0,0.009541471796013671
94,4700.0,240.0,0.007770841622419922
96,4800.0,220.0,0.008809376671844726
98,4900.0,210.0,0.007042437708316894
100,5000.0,190.0,0.007942832231872069
102,5100.0,180.0,0.006135975595047852
104,5200.0,160.0,0.007133868475303222
106,5300.0,150.0,0.0053159829545268555
108,5400.0,130.0,0.006147086672169434
110,5500.0,120.0,0.0044837444234340825
112,5600.0,100.0,0.005241921968199706
114,5700.0,90.0,0.003197770170578125
116,5800.0,70.0,0.0038157912170834955
118,5900.0,60.0,0.0018529804110004886
120,6000.0,40.0,0.0025163356437836915
122,6100.0,30.0,0.0004912009875297852
124,6200.0,10.0,0.0009841321888125
126,6300.0,-10.0,0.001562283596618652
128,6400.0,-30.0,0.002266151437693848
130,6500.0,-40.0,0.0001961931376508789
132,6600.0,-60.0,0.0008939509700795898
134,6700.0,-80.0,0.0014601911785737305
136,6800.0,-100.0,0.0019914850479047855
138,6900.0,-120.0,0.0025636919854931644
140,7000.0,-130.0,0.0004567089124584961
142,7100.0,-150.0,0.0009268681791201172
144,7200.0,-170.0,0.0013761967357265625
146,7300.0,-190.0,0.001826130861128418
148,7400.0,-210.0,0.0021880803957807617
150,7500.0,-230.0,0.002574910734905762
152,7600.0,-240.0,0.0003618805211000976
154,7700.0,-260.0,0.0007511536958139649
156,7800.0,-280.0,0.0011513156611323242
158,7900.0,-300.0,0.001528389473303711
160,8000.0,-320.0,0.0018751475656645508
162,8100.0,-340.0,0.002150746124503418
164,8200.0,-360.0,0.0025249605968325197
166,8300.0,-370.0,0.00018666268732812495
168,8400.0,-390.0,0.0004722781567685547
170,8500.0,-410.0,0.001027733293512207
172,8600.0,-430.0,0.0011340331570634764
174,8700.0,-450.0,0.0014283583254252928
176,8800.0,-470.0,0.0016801074959555665
178,8900.0,-490.0,0.001988164067789551
180,9000.0,-510.0,0.0022734346498833008
182,9100.0,-520.0,1.4490913915039057e-05
184,9200.0,-540.0,0.00036468829191601556
186,9300.0,-560.0,0.0006007807693559571
188,9400.0,-580.0,0.0008701358091103518
190,9500.0,-600.0,0.0012331916281665039
192,9600.0,-620.0,0.0017343197073847656
194,9700.0,-640.0,0.001943233223227539
196,9800.0,-660.0,0.0024188672418320313
198,9900.0,-670.0,0.0002463006509858398
200,10000.0,-690.0,0.0006614131033144529
